Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;1.256.344
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;1.792.076
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;3.463.488
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;3.587.490
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;3.440.371
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;3.165.047
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;3.189.015
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;3.434.070
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;2.926.224
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;2.303.458
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;1.625.402
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;1.308.731
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;1.245.964
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;1.660.282
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;3.277.315
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;3.408.937
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;3.268.914
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;2.978.108
