Tipo de alojamiento;Viajeros y pernoctaciones;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M09;8.406.610
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M08;10.011.278
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M07;9.638.472
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M06;8.103.144
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M05;6.613.952
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M04;3.053.023
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M03;771.032
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M02;326.250
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M01;151.873
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M12;891.046
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M11;856.070
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M10;1.180.511
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M09;1.509.369
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M08;2.499.907
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M07;2.121.570
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M06;1.914.478
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M05;1.496.482
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M04;1.192.144
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M03;1.262.466
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M02;853.424
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M01;796.248
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M12;938.225
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M11;788.361
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M10;1.238.824
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M09;1.590.625
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M08;2.633.145
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M07;2.354.479
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M06;1.958.296
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M05;1.433.915
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M04;1.592.789
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M03;1.058.452
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M02;865.261
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M01;827.185
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M12;1.586.222
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M11;1.860.356
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M10;4.047.842
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M09;5.157.732
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M08;6.412.587
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M07;6.166.586
