Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2024M01;3,26
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M12;3,17
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M11;2,70
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M10;3,91
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M09;4,73
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M08;6,39
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M07;5,63
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M06;4,15
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M05;4,17
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M04;3,63
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M03;2,75
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M02;2,29
Encuesta de Ocupación en Campings;Total Nacional;09 Cataluña;2023M01;2,69
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M12;11,17
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M11;13,48
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M10;7,64
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M09;6,08
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M08;6,47
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M07;6,20
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M06;5,49
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M05;5,93
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M04;6,51
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M03;7,21
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M02;12,66
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2024M01;12,62
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M12;10,45
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M11;10,12
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M10;7,46
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M09;6,30
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M08;6,82
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M07;5,90
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M06;5,79
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M05;6,79
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M04;5,80
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M03;9,90
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M02;14,19
Encuesta de Ocupación en Campings;Total Nacional;10 Comunitat Valenciana;2023M01;12,88
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M12;3,50
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M11;3,67
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M10;3,40
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M09;3,40
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M08;3,89
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M07;3,60
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M06;3,06
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M05;2,81
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M04;3,22
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M03;3,25
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M02;3,68
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2024M01;3,29
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M12;3,30
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M11;3,52
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M10;3,52
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M09;3,20
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M08;4,59
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M07;4,43
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M06;3,17
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M05;3,08
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M04;3,24
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M03;3,19
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M02;3,16
Encuesta de Ocupación en Campings;Total Nacional;13 Madrid, Comunidad de;2023M01;3,50
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M12;3,21
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M11;3,38
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M10;3,53
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M09;3,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M08;4,43
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M07;4,53
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M06;3,61
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M05;3,38
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M04;3,41
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M03;3,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M02;3,59
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2024M01;3,73
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M12;3,35
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M11;3,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M10;3,69
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M09;3,65
