RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Viajero,6786265,2010,4,Abril
Total,,Viajero,5706500,2010,3,Marzo
Total,,Viajero,4610953,2010,2,Febrero
Total,,Viajero,3767159,2010,1,Enero
Total,,Viajero,4435027,2009,12,Diciembre
Total,,Viajero,4710822,2009,11,Noviembre
Total,,Viajero,7011612,2009,10,Octubre
Total,,Viajero,7827994,2009,9,Septiembre
Total,,Viajero,9423345,2009,8,Agosto
Total,,Viajero,8712905,2009,7,Julio
Total,,Viajero,7630129,2009,6,Junio
Total,,Viajero,7378804,2009,5,Mayo
Total,,Viajero,6542718,2009,4,Abril
Total,,Viajero,5303127,2009,3,Marzo
Total,,Viajero,4447323,2009,2,Febrero
Total,,Viajero,3716510,2009,1,Enero
Total,,Viajero,4326374,2008,12,Diciembre
Total,,Viajero,4870882,2008,11,Noviembre
Total,,Viajero,7035977,2008,10,Octubre
Total,,Viajero,8359855,2008,9,Septiembre
Total,,Viajero,9954774,2008,8,Agosto
Total,,Viajero,9219035,2008,7,Julio
Total,,Viajero,8280336,2008,6,Junio
Total,,Viajero,8109904,2008,5,Mayo
Total,,Viajero,6656665,2008,4,Abril
Total,,Viajero,6614348,2008,3,Marzo
Total,,Viajero,5242247,2008,2,Febrero
Total,,Viajero,4328480,2008,1,Enero
Total,,Viajero,4771361,2007,12,Diciembre
Total,,Viajero,5534255,2007,11,Noviembre
Total,,Viajero,7540505,2007,10,Octubre
Total,,Viajero,8621798,2007,9,Septiembre
Total,,Viajero,10025687,2007,8,Agosto
Total,,Viajero,9176950,2007,7,Julio
Total,,Viajero,8555535,2007,6,Junio
Total,,Viajero,7639348,2007,5,Mayo
Total,,Viajero,7394418,2007,4,Abril
Total,,Viajero,6151952,2007,3,Marzo
Total,,Viajero,4853246,2007,2,Febrero
Total,,Viajero,4158378,2007,1,Enero
Total,,Viajero,4672741,2006,12,Diciembre
Total,,Viajero,5114939,2006,11,Noviembre
