Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2025M01;48,82
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M12;51,37
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M11;47,37
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M10;41,37
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M09;47,54
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M08;46,36
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M07;45,34
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M06;42,37
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M05;45,86
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M04;45,03
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M03;40,35
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M02;45,46
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2024M01;40,69
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M12;46,27
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M11;52,00
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M10;55,19
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M09;50,83
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M08;45,49
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M07;52,63
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M06;51,25
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M05;43,24
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M04;39,87
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M03;46,74
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M02;50,59
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2023M01;48,06
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M12;45,64
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M11;46,88
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M10;45,99
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M09;50,35
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M08;45,02
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M07;53,82
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M06;55,29
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M05;47,65
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M04;45,45
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M03;48,52
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M02;53,53
Total Nacional;29 Málaga;Total Nacional;01 Andalucía;Pernoctaciones;2022M01;53,00
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2025M03;0,98
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2025M02;1,37
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2025M01;1,11
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M12;0,83
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M11;0,64
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M10;0,86
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M09;0,65
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M08;0,55
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M07;0,63
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M06;0,72
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M05;0,54
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M04;0,91
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M03;0,83
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M02;1,03
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2024M01;0,80
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M12;1,01
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M11;0,98
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M10;0,63
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M09;0,68
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M08;1,29
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M07;0,78
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M06;0,67
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M05;0,69
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M04;0,86
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M03;0,98
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M02;0,61
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2023M01;0,94
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M12;0,67
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M11;0,87
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M10;0,86
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M09;0,83
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M08;0,86
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M07;0,86
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M06;0,68
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M05;0,81
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M04;0,98
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M03;0,87
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M02;0,66
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Viajero;2022M01;0,77
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2025M03;1,68
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2025M02;1,75
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2025M01;1,62
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M12;1,11
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M11;0,90
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M10;1,25
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M09;0,88
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M08;0,78
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M07;0,82
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M06;1,23
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M05;0,81
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M04;1,26
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M03;1,30
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M02;2,50
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2024M01;1,05
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M12;1,89
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M11;1,14
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M10;0,92
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M09;0,82
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M08;1,75
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M07;0,89
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M06;0,76
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M05;1,49
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M04;1,44
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M03;1,55
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M02;0,72
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2023M01;1,02
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M12;0,82
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M11;1,16
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M10;1,09
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M09;0,92
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M08;1,29
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M07;1,08
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M06;0,90
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M05;0,99
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M04;1,28
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M03;1,20
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M02;0,82
Total Nacional;29 Málaga;Total Nacional;02 Aragón;Pernoctaciones;2022M01;1,00
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2025M03;0,93
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2025M02;0,54
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2025M01;0,69
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M12;0,87
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M11;0,68
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M10;0,65
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M09;0,74
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M08;0,93
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M07;0,89
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M06;0,90
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M05;0,76
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M04;0,54
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M03;0,89
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M02;0,70
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2024M01;0,66
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M12;0,65
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M11;0,55
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M10;0,76
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M09;1,07
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M08;0,78
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M07;0,81
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M06;1,20
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M05;1,14
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M04;0,70
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M03;0,53
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M02;0,56
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2023M01;0,90
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M12;1,02
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M11;0,76
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M10;1,08
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M09;1,21
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M08;0,79
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M07;0,79
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M06;1,17
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M05;0,91
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M04;0,75
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M03;0,99
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M02;0,93
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Viajero;2022M01;0,74
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M03;1,45
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M02;1,07
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M01;1,16
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M12;1,13
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M11;0,90
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M10;1,08
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M09;1,36
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M08;1,17
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M07;1,64
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M06;1,79
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M05;1,23
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M04;1,21
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M03;1,79
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M02;1,30
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M01;0,72
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M12;0,84
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M11;0,63
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M10;1,10
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M09;1,54
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M08;1,22
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M07;1,39
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M06;1,74
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M05;1,75
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M04;1,21
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M03;0,94
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M02;0,73
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M01;1,81
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M12;1,82
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M11;1,86
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M10;1,58
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M09;1,88
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M08;1,26
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M07;1,37
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M06;2,03
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M05;1,52
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M04;1,19
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M03;2,75
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M02;2,33
Total Nacional;29 Málaga;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M01;1,01
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2025M03;2,21
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2025M02;1,42
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2025M01;2,08
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M12;2,54
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M11;2,40
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M10;4,89
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M09;3,44
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M08;2,48
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M07;2,98
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M06;2,93
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M05;2,56
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M04;3,34
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M03;1,67
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M02;1,93
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2024M01;3,75
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M12;2,42
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M11;1,36
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M10;1,07
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M09;0,89
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M08;0,63
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M07;0,82
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M06;1,64
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M05;1,20
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M04;0,85
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M03;1,12
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M02;1,13
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2023M01;1,41
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M12;1,30
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M11;1,19
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M10;0,96
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M09;0,91
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M08;0,88
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M07;0,62
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M06;0,75
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M05;0,99
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M04;0,67
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M03;0,85
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M02;0,93
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Viajero;2022M01;1,28
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2025M03;2,46
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2025M02;2,40
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2025M01;2,69
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M12;2,98
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M11;3,64
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M10;7,84
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M09;4,54
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M08;3,01
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M07;4,21
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M06;3,86
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M05;3,40
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M04;4,32
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M03;2,07
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M02;2,84
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2024M01;8,30
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M12;2,70
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M11;1,46
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M10;1,07
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M09;0,77
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M08;0,56
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M07;0,68
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M06;1,03
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M05;1,40
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M04;1,21
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M03;1,07
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M02;1,37
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2023M01;1,82
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M12;1,49
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M11;1,16
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M10;0,89
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M09;0,86
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M08;0,91
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M07;0,56
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M06;0,85
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M05;0,97
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M04;0,61
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M03;1,80
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M02;2,30
Total Nacional;29 Málaga;Total Nacional;04 Balears, Illes;Pernoctaciones;2022M01;1,62
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2025M03;1,37
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2025M02;1,08
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2025M01;1,35
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M12;1,35
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M11;1,24
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M10;1,10
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M09;0,98
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M08;0,64
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M07;0,90
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M06;1,19
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M05;0,94
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M04;1,03
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M03;1,07
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M02;1,43
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2024M01;1,53
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M12;0,86
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M11;1,03
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M10;1,31
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M09;0,94
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M08;0,81
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M07;0,78
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M06;1,16
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M05;1,36
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M04;1,38
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M03;1,27
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M02;1,07
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2023M01;0,93
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2022M12;0,99
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2022M11;1,04
Total Nacional;29 Málaga;Total Nacional;05 Canarias;Viajero;2022M10;0,98
