Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M04;0,89
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M03;0,64
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M02;0,71
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M01;0,41
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M12;0,48
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M11;1,27
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M10;1,22
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M09;1,28
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M08;1,01
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M07;1,71
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M06;1,59
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M05;1,57
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M04;0,46
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M03;1,18
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M02;1,16
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2022M01;0,74
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2025M03;0,91
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2025M02;0,84
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2025M01;1,02
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M12;0,68
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M11;0,77
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M10;1,47
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M09;1,18
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M08;1,93
