Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M09;346.404
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M08;566.713
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M07;456.419
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M06;461.301
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M05;299.207
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M04;309.533
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M03;277.291
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M02;149.188
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M01;45.731
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M12;52.229
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M11;61.041
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M10;297.199
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M09;372.840
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M08;595.189
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M07;482.871
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M06;504.163
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M05;383.886
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M04;240.983
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M03;141.446
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M02;121.488
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2023M01;73.446
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M12;67.030
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M11;79.679
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M10;259.320
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M09;375.358
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M08;696.328
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M07;462.677
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M06;451.568
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M05;298.211
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M04;286.236
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M03;150.939
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M02;86.495
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2022M01;33.924
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M12;48.935
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M11;53.839
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M10;223.127
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M09;304.691
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M08;577.024
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M07;361.333
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M06;250.042
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M05;103.861
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M04;41.628
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M03;23.017
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M02;14.440
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2021M01;10.528
