Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Periodo_dt
Cataluña,Girona,2022-07,3.52,2022-07-01
Cataluña,Girona,2022-06,2.72,2022-06-01
Cataluña,Girona,2022-05,2.58,2022-05-01
Cataluña,Girona,2022-04,2.5,2022-04-01
Comunitat Valenciana,Valencia/València,2024-04,2.36,2024-04-01
Comunitat Valenciana,Valencia/València,2024-03,2.36,2024-03-01
Comunitat Valenciana,Valencia/València,2024-02,2.07,2024-02-01
Comunitat Valenciana,Valencia/València,2024-01,2.02,2024-01-01
Comunitat Valenciana,Valencia/València,2023-12,2.02,2023-12-01
Comunitat Valenciana,Valencia/València,2023-11,2.05,2023-11-01
Comunitat Valenciana,Valencia/València,2023-10,2.22,2023-10-01
Comunitat Valenciana,Valencia/València,2023-09,2.44,2023-09-01
Comunitat Valenciana,Valencia/València,2023-08,2.75,2023-08-01
Comunitat Valenciana,Valencia/València,2023-07,2.67,2023-07-01
Comunitat Valenciana,Valencia/València,2023-06,2.33,2023-06-01
Comunitat Valenciana,Valencia/València,2023-05,2.3,2023-05-01
Comunitat Valenciana,Valencia/València,2023-04,2.38,2023-04-01
Comunitat Valenciana,Valencia/València,2023-03,2.17,2023-03-01
Comunitat Valenciana,Valencia/València,2023-02,2.02,2023-02-01
Comunitat Valenciana,Valencia/València,2023-01,1.97,2023-01-01
Comunitat Valenciana,Valencia/València,2022-12,2.11,2022-12-01
Comunitat Valenciana,Valencia/València,2022-11,2.07,2022-11-01
Comunitat Valenciana,Valencia/València,2022-10,2.2,2022-10-01
Comunitat Valenciana,Valencia/València,2022-09,2.53,2022-09-01
Comunitat Valenciana,Valencia/València,2022-08,2.8,2022-08-01
Comunitat Valenciana,Valencia/València,2022-07,2.55,2022-07-01
Comunitat Valenciana,Valencia/València,2022-06,2.37,2022-06-01
Comunitat Valenciana,Valencia/València,2022-05,2.37,2022-05-01
Comunitat Valenciana,Valencia/València,2022-04,2.36,2022-04-01
