Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M10;254.757
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M09;335.355
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M08;408.296
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M07;394.905
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M06;302.868
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M05;314.768
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M04;213.439
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M03;109.975
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M02;68.516
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M01;50.860
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M12;63.723
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M11;73.341
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M10;238.094
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M09;314.900
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M08;372.153
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M07;362.769
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M06;274.205
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M05;296.780
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M04;222.915
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M03;87.525
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M02;61.937
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2023M01;45.351
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M12;53.654
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M11;64.016
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M10;202.899
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M09;277.909
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M08;354.716
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M07;343.860
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M06;254.234
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M05;230.522
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M04;156.628
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M03;53.608
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M02;55.588
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2022M01;30.145
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M12;39.360
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M11;57.529
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M10;142.025
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M09;150.921
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M08;226.811
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M07;161.972
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M06;79.844
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M05;47.911
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M04;14.445
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M03;13.155
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M02;7.823
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2021M01;9.536
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M12;12.429
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M11;7.159
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M10;35.020
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M09;55.528
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M08;107.544
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M07;107.813
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M06;16.623
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M05;300
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M04;0
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M03;29.969
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M02;65.473
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2020M01;44.112
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2025M03;487.964
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2025M02;303.624
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2025M01;250.702
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M12;246.708
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M11;285.700
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M10;1.090.967
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M09;1.639.557
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M08;2.440.731
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M07;2.228.960
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M06;1.585.546
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M05;1.356.779
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M04;876.179
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M03;554.160
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M02;274.407
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2024M01;212.116
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M12;308.760
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M11;304.105
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M10;1.076.982
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M09;1.582.302
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M08;2.335.305
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M07;2.099.009
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M06;1.490.213
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M05;1.217.666
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M04;1.037.458
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M03;415.967
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M02;290.680
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2023M01;240.467
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M12;298.209
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M11;283.568
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M10;874.310
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M09;1.377.674
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M08;2.360.768
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M07;2.068.066
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M06;1.385.761
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M05;980.345
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M04;825.358
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M03;317.741
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M02;271.749
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2022M01;204.903
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M12;261.573
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M11;246.367
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M10;666.071
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M09;938.605
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M08;1.910.245
