Países	Viajeros y pernoctaciones	Periodo	Total
Estados Unidos de América	Viajero	2007M10	170885
Estados Unidos de América	Viajero	2007M09	162965
Estados Unidos de América	Viajero	2007M08	129092
Estados Unidos de América	Viajero	2007M07	198609
Estados Unidos de América	Viajero	2007M06	224498
Estados Unidos de América	Viajero	2007M05	181294
Estados Unidos de América	Viajero	2007M04	141002
Estados Unidos de América	Viajero	2007M03	135211
Estados Unidos de América	Viajero	2007M02	71154
Estados Unidos de América	Viajero	2007M01	69250
Estados Unidos de América	Viajero	2006M12	70213
Estados Unidos de América	Viajero	2006M11	103482
Estados Unidos de América	Viajero	2006M10	174796
Estados Unidos de América	Viajero	2006M09	158546
Estados Unidos de América	Viajero	2006M08	126975
Estados Unidos de América	Viajero	2006M07	191733
Estados Unidos de América	Viajero	2006M06	213841
Estados Unidos de América	Viajero	2006M05	175672
Estados Unidos de América	Viajero	2006M04	140332
Estados Unidos de América	Viajero	2006M03	129318
Estados Unidos de América	Viajero	2006M02	70193
Estados Unidos de América	Viajero	2006M01	62844
Estados Unidos de América	Viajero	2005M12	64653
Estados Unidos de América	Viajero	2005M11	92643
Estados Unidos de América	Viajero	2005M10	143530
Estados Unidos de América	Viajero	2005M09	148008
Estados Unidos de América	Viajero	2005M08	114197
Estados Unidos de América	Viajero	2005M07	167196
Estados Unidos de América	Viajero	2005M06	181819
Estados Unidos de América	Viajero	2005M05	155958
Estados Unidos de América	Viajero	2005M04	108278
Estados Unidos de América	Viajero	2005M03	112296
Estados Unidos de América	Viajero	2005M02	61513
Estados Unidos de América	Viajero	2005M01	51974
Estados Unidos de América	Viajero	2004M12	62628
Estados Unidos de América	Viajero	2004M11	83441
Estados Unidos de América	Viajero	2004M10	128513
Estados Unidos de América	Viajero	2004M09	135595
Estados Unidos de América	Viajero	2004M08	101900
Estados Unidos de América	Viajero	2004M07	165962
Estados Unidos de América	Viajero	2004M06	185173
Estados Unidos de América	Viajero	2004M05	147756
Estados Unidos de América	Viajero	2004M04	133910
Estados Unidos de América	Viajero	2004M03	126968
Estados Unidos de América	Viajero	2004M02	64964
Estados Unidos de América	Viajero	2004M01	57383
Estados Unidos de América	Viajero	2003M12	75678
Estados Unidos de América	Viajero	2003M11	91871
Estados Unidos de América	Viajero	2003M10	147149
Estados Unidos de América	Viajero	2003M09	137704
Estados Unidos de América	Viajero	2003M08	114559
Estados Unidos de América	Viajero	2003M07	175282
Estados Unidos de América	Viajero	2003M06	175343
Estados Unidos de América	Viajero	2003M05	135335
Estados Unidos de América	Viajero	2003M04	114583
Estados Unidos de América	Viajero	2003M03	117527
Estados Unidos de América	Viajero	2003M02	62916
Estados Unidos de América	Viajero	2003M01	60513
Estados Unidos de América	Viajero	2002M12	71202
Estados Unidos de América	Viajero	2002M11	89558
Estados Unidos de América	Viajero	2002M10	141584
Estados Unidos de América	Viajero	2002M09	149537
Estados Unidos de América	Viajero	2002M08	115970
Estados Unidos de América	Viajero	2002M07	170884
Estados Unidos de América	Viajero	2002M06	184747
Estados Unidos de América	Viajero	2002M05	157316
Estados Unidos de América	Viajero	2002M04	111459
Estados Unidos de América	Viajero	2002M03	126596
Estados Unidos de América	Viajero	2002M02	57388
Estados Unidos de América	Viajero	2002M01	55293
Estados Unidos de América	Viajero	2001M12	56228
Estados Unidos de América	Viajero	2001M11	81787
Estados Unidos de América	Viajero	2001M10	119623
Estados Unidos de América	Viajero	2001M09	131221
Estados Unidos de América	Viajero	2001M08	133751
Estados Unidos de América	Viajero	2001M07	206753
Estados Unidos de América	Viajero	2001M06	234856
Estados Unidos de América	Viajero	2001M05	193737
Estados Unidos de América	Viajero	2001M04	159754
Estados Unidos de América	Viajero	2001M03	145538
Estados Unidos de América	Viajero	2001M02	73977
Estados Unidos de América	Viajero	2001M01	61193
Estados Unidos de América	Viajero	2000M12	71207
Estados Unidos de América	Viajero	2000M11	110069
Estados Unidos de América	Viajero	2000M10	177754
Estados Unidos de América	Viajero	2000M09	163965
Estados Unidos de América	Viajero	2000M08	123828
Estados Unidos de América	Viajero	2000M07	188118
Estados Unidos de América	Viajero	2000M06	225384
Estados Unidos de América	Viajero	2000M05	190893
Estados Unidos de América	Viajero	2000M04	163330
Estados Unidos de América	Viajero	2000M03	147689
Estados Unidos de América	Viajero	2000M02	73027
Estados Unidos de América	Viajero	2000M01	62890
Estados Unidos de América	Viajero	1999M12	59294
Estados Unidos de América	Viajero	1999M11	105283
Estados Unidos de América	Viajero	1999M10	163630
Estados Unidos de América	Viajero	1999M09	152574
Estados Unidos de América	Viajero	1999M08	111457
Estados Unidos de América	Viajero	1999M07	169998
Estados Unidos de América	Viajero	1999M06	199070
Estados Unidos de América	Viajero	1999M05	172490
Estados Unidos de América	Viajero	1999M04	158415
Estados Unidos de América	Viajero	1999M03	133854
Estados Unidos de América	Viajero	1999M02	60736
Estados Unidos de América	Viajero	1999M01	57185
Estados Unidos de América	Pernoctaciones	2025M03	770543
Estados Unidos de América	Pernoctaciones	2025M02	410223
Estados Unidos de América	Pernoctaciones	2025M01	422042
Estados Unidos de América	Pernoctaciones	2024M12	488040
Estados Unidos de América	Pernoctaciones	2024M11	684164
Estados Unidos de América	Pernoctaciones	2024M10	1133620
Estados Unidos de América	Pernoctaciones	2024M09	1170755
Estados Unidos de América	Pernoctaciones	2024M08	949777
Estados Unidos de América	Pernoctaciones	2024M07	1224254
Estados Unidos de América	Pernoctaciones	2024M06	1347406
Estados Unidos de América	Pernoctaciones	2024M05	1244696
Estados Unidos de América	Pernoctaciones	2024M04	959950
Estados Unidos de América	Pernoctaciones	2024M03	799937
Estados Unidos de América	Pernoctaciones	2024M02	428198
Estados Unidos de América	Pernoctaciones	2024M01	388082
Estados Unidos de América	Pernoctaciones	2023M12	472389
Estados Unidos de América	Pernoctaciones	2023M11	628841
Estados Unidos de América	Pernoctaciones	2023M10	1044392
Estados Unidos de América	Pernoctaciones	2023M09	1075129
Estados Unidos de América	Pernoctaciones	2023M08	814906
Estados Unidos de América	Pernoctaciones	2023M07	1101227
Estados Unidos de América	Pernoctaciones	2023M06	1155467
Estados Unidos de América	Pernoctaciones	2023M05	1027692
Estados Unidos de América	Pernoctaciones	2023M04	808101
Estados Unidos de América	Pernoctaciones	2023M03	666163
Estados Unidos de América	Pernoctaciones	2023M02	348808
Estados Unidos de América	Pernoctaciones	2023M01	324555
Estados Unidos de América	Pernoctaciones	2022M12	394602
Estados Unidos de América	Pernoctaciones	2022M11	487522
Estados Unidos de América	Pernoctaciones	2022M10	833401
Estados Unidos de América	Pernoctaciones	2022M09	890838
Estados Unidos de América	Pernoctaciones	2022M08	645375
Estados Unidos de América	Pernoctaciones	2022M07	961715
Estados Unidos de América	Pernoctaciones	2022M06	1022960
Estados Unidos de América	Pernoctaciones	2022M05	838841
Estados Unidos de América	Pernoctaciones	2022M04	536732
Estados Unidos de América	Pernoctaciones	2022M03	415119
Estados Unidos de América	Pernoctaciones	2022M02	187273
Estados Unidos de América	Pernoctaciones	2022M01	159410
Estados Unidos de América	Pernoctaciones	2021M12	249341
Estados Unidos de América	Pernoctaciones	2021M11	278431
Estados Unidos de América	Pernoctaciones	2021M10	386251
Estados Unidos de América	Pernoctaciones	2021M09	366025
Estados Unidos de América	Pernoctaciones	2021M08	321528
Estados Unidos de América	Pernoctaciones	2021M07	308880
Estados Unidos de América	Pernoctaciones	2021M06	117437
Estados Unidos de América	Pernoctaciones	2021M05	44329
Estados Unidos de América	Pernoctaciones	2021M04	28215
Estados Unidos de América	Pernoctaciones	2021M03	25756
Estados Unidos de América	Pernoctaciones	2021M02	18506
Estados Unidos de América	Pernoctaciones	2021M01	19101
Estados Unidos de América	Pernoctaciones	2020M12	20563
Estados Unidos de América	Pernoctaciones	2020M11	17242
Estados Unidos de América	Pernoctaciones	2020M10	28036
Estados Unidos de América	Pernoctaciones	2020M09	25759
Estados Unidos de América	Pernoctaciones	2020M08	34256
Estados Unidos de América	Pernoctaciones	2020M07	31095
Estados Unidos de América	Pernoctaciones	2020M06	.
Estados Unidos de América	Pernoctaciones	2020M05	.
Estados Unidos de América	Pernoctaciones	2020M04	0
Estados Unidos de América	Pernoctaciones	2020M03	153128
Estados Unidos de América	Pernoctaciones	2020M02	323539
Estados Unidos de América	Pernoctaciones	2020M01	314837
Estados Unidos de América	Pernoctaciones	2019M12	388787
Estados Unidos de América	Pernoctaciones	2019M11	514040
Estados Unidos de América	Pernoctaciones	2019M10	836384
Estados Unidos de América	Pernoctaciones	2019M09	888980
Estados Unidos de América	Pernoctaciones	2019M08	735546
Estados Unidos de América	Pernoctaciones	2019M07	1025523
Estados Unidos de América	Pernoctaciones	2019M06	963401
Estados Unidos de América	Pernoctaciones	2019M05	855181
Estados Unidos de América	Pernoctaciones	2019M04	631339
Estados Unidos de América	Pernoctaciones	2019M03	544597
Estados Unidos de América	Pernoctaciones	2019M02	307577
Estados Unidos de América	Pernoctaciones	2019M01	301379
Estados Unidos de América	Pernoctaciones	2018M12	339236
Estados Unidos de América	Pernoctaciones	2018M11	448253
Estados Unidos de América	Pernoctaciones	2018M10	719629
Estados Unidos de América	Pernoctaciones	2018M09	744660
Estados Unidos de América	Pernoctaciones	2018M08	625082
Estados Unidos de América	Pernoctaciones	2018M07	848716
Estados Unidos de América	Pernoctaciones	2018M06	868341
Estados Unidos de América	Pernoctaciones	2018M05	746540
Estados Unidos de América	Pernoctaciones	2018M04	544570
Estados Unidos de América	Pernoctaciones	2018M03	462365
Estados Unidos de América	Pernoctaciones	2018M02	269733
Estados Unidos de América	Pernoctaciones	2018M01	258719
Estados Unidos de América	Pernoctaciones	2017M12	280299
Estados Unidos de América	Pernoctaciones	2017M11	366038
Estados Unidos de América	Pernoctaciones	2017M10	652739
Estados Unidos de América	Pernoctaciones	2017M09	768161
Estados Unidos de América	Pernoctaciones	2017M08	592516
Estados Unidos de América	Pernoctaciones	2017M07	821776
Estados Unidos de América	Pernoctaciones	2017M06	825257
Estados Unidos de América	Pernoctaciones	2017M05	747113
Estados Unidos de América	Pernoctaciones	2017M04	567009
Estados Unidos de América	Pernoctaciones	2017M03	431259
Estados Unidos de América	Pernoctaciones	2017M02	243072
Estados Unidos de América	Pernoctaciones	2017M01	214771
Estados Unidos de América	Pernoctaciones	2016M12	275187
Estados Unidos de América	Pernoctaciones	2016M11	311348
Estados Unidos de América	Pernoctaciones	2016M10	572825
Estados Unidos de América	Pernoctaciones	2016M09	644675
Estados Unidos de América	Pernoctaciones	2016M08	519305
Estados Unidos de América	Pernoctaciones	2016M07	712406
Estados Unidos de América	Pernoctaciones	2016M06	756272
Estados Unidos de América	Pernoctaciones	2016M05	640670
Estados Unidos de América	Pernoctaciones	2016M04	450570
Estados Unidos de América	Pernoctaciones	2016M03	389932
Estados Unidos de América	Pernoctaciones	2016M02	237197
Estados Unidos de América	Pernoctaciones	2016M01	196720
Estados Unidos de América	Pernoctaciones	2015M12	244759
Estados Unidos de América	Pernoctaciones	2015M11	306764
Estados Unidos de América	Pernoctaciones	2015M10	596190
Estados Unidos de América	Pernoctaciones	2015M09	602952
Estados Unidos de América	Pernoctaciones	2015M08	475398
Estados Unidos de América	Pernoctaciones	2015M07	676903
Estados Unidos de América	Pernoctaciones	2015M06	678087
Estados Unidos de América	Pernoctaciones	2015M05	580426
Estados Unidos de América	Pernoctaciones	2015M04	432044
Estados Unidos de América	Pernoctaciones	2015M03	362508
Estados Unidos de América	Pernoctaciones	2015M02	190636
Estados Unidos de América	Pernoctaciones	2015M01	176272
Estados Unidos de América	Pernoctaciones	2014M12	210864
Estados Unidos de América	Pernoctaciones	2014M11	261997
Estados Unidos de América	Pernoctaciones	2014M10	512182
Estados Unidos de América	Pernoctaciones	2014M09	556162
Estados Unidos de América	Pernoctaciones	2014M08	427368
Estados Unidos de América	Pernoctaciones	2014M07	589748
Estados Unidos de América	Pernoctaciones	2014M06	608711
Estados Unidos de América	Pernoctaciones	2014M05	515823
Estados Unidos de América	Pernoctaciones	2014M04	392128
Estados Unidos de América	Pernoctaciones	2014M03	314101
Estados Unidos de América	Pernoctaciones	2014M02	198326
Estados Unidos de América	Pernoctaciones	2014M01	166388
Estados Unidos de América	Pernoctaciones	2013M12	189513
Estados Unidos de América	Pernoctaciones	2013M11	279531
Estados Unidos de América	Pernoctaciones	2013M10	449899
Estados Unidos de América	Pernoctaciones	2013M09	492646
Estados Unidos de América	Pernoctaciones	2013M08	399053
Estados Unidos de América	Pernoctaciones	2013M07	589077
Estados Unidos de América	Pernoctaciones	2013M06	554099
Estados Unidos de América	Pernoctaciones	2013M05	480624
Estados Unidos de América	Pernoctaciones	2013M04	340910
Estados Unidos de América	Pernoctaciones	2013M03	318302
Estados Unidos de América	Pernoctaciones	2013M02	176663
Estados Unidos de América	Pernoctaciones	2013M01	152428
Estados Unidos de América	Pernoctaciones	2012M12	171342
Estados Unidos de América	Pernoctaciones	2012M11	241847
Estados Unidos de América	Pernoctaciones	2012M10	437890
Estados Unidos de América	Pernoctaciones	2012M09	486003
Estados Unidos de América	Pernoctaciones	2012M08	369259
Estados Unidos de América	Pernoctaciones	2012M07	580596
Estados Unidos de América	Pernoctaciones	2012M06	551620
Estados Unidos de América	Pernoctaciones	2012M05	460899
Estados Unidos de América	Pernoctaciones	2012M04	400267
Estados Unidos de América	Pernoctaciones	2012M03	308286
Estados Unidos de América	Pernoctaciones	2012M02	183102
Estados Unidos de América	Pernoctaciones	2012M01	153274
Estados Unidos de América	Pernoctaciones	2011M12	176991
Estados Unidos de América	Pernoctaciones	2011M11	251546
Estados Unidos de América	Pernoctaciones	2011M10	408891
Estados Unidos de América	Pernoctaciones	2011M09	456909
Estados Unidos de América	Pernoctaciones	2011M08	421279
Estados Unidos de América	Pernoctaciones	2011M07	558860
Estados Unidos de América	Pernoctaciones	2011M06	568719
Estados Unidos de América	Pernoctaciones	2011M05	500638
Estados Unidos de América	Pernoctaciones	2011M04	376167
Estados Unidos de América	Pernoctaciones	2011M03	310369
Estados Unidos de América	Pernoctaciones	2011M02	199761
Estados Unidos de América	Pernoctaciones	2011M01	153897
Estados Unidos de América	Pernoctaciones	2010M12	185281
Estados Unidos de América	Pernoctaciones	2010M11	255940
Estados Unidos de América	Pernoctaciones	2010M10	410704
Estados Unidos de América	Pernoctaciones	2010M09	433549
Estados Unidos de América	Pernoctaciones	2010M08	322214
Estados Unidos de América	Pernoctaciones	2010M07	500992
Estados Unidos de América	Pernoctaciones	2010M06	467920
Estados Unidos de América	Pernoctaciones	2010M05	429494
Estados Unidos de América	Pernoctaciones	2010M04	319635
Estados Unidos de América	Pernoctaciones	2010M03	291122
Estados Unidos de América	Pernoctaciones	2010M02	184649
Estados Unidos de América	Pernoctaciones	2010M01	146361
Estados Unidos de América	Pernoctaciones	2009M12	159913
Estados Unidos de América	Pernoctaciones	2009M11	220189
Estados Unidos de América	Pernoctaciones	2009M10	340378
Estados Unidos de América	Pernoctaciones	2009M09	361960
Estados Unidos de América	Pernoctaciones	2009M08	291944
Estados Unidos de América	Pernoctaciones	2009M07	415780
Estados Unidos de América	Pernoctaciones	2009M06	397931
Estados Unidos de América	Pernoctaciones	2009M05	361703
Estados Unidos de América	Pernoctaciones	2009M04	279423
Estados Unidos de América	Pernoctaciones	2009M03	236114
Estados Unidos de América	Pernoctaciones	2009M02	145214
Estados Unidos de América	Pernoctaciones	2009M01	140041
Estados Unidos de América	Pernoctaciones	2008M12	135843
Estados Unidos de América	Pernoctaciones	2008M11	190025
Estados Unidos de América	Pernoctaciones	2008M10	305263
Estados Unidos de América	Pernoctaciones	2008M09	325815
Estados Unidos de América	Pernoctaciones	2008M08	223016
Estados Unidos de América	Pernoctaciones	2008M07	374506
Estados Unidos de América	Pernoctaciones	2008M06	401449
Estados Unidos de América	Pernoctaciones	2008M05	333802
Estados Unidos de América	Pernoctaciones	2008M04	263637
Estados Unidos de América	Pernoctaciones	2008M03	294525
Estados Unidos de América	Pernoctaciones	2008M02	184629
Estados Unidos de América	Pernoctaciones	2008M01	150947
Estados Unidos de América	Pernoctaciones	2007M12	159745
Estados Unidos de América	Pernoctaciones	2007M11	220309
Estados Unidos de América	Pernoctaciones	2007M10	342336
Estados Unidos de América	Pernoctaciones	2007M09	330325
Estados Unidos de América	Pernoctaciones	2007M08	267356
Estados Unidos de América	Pernoctaciones	2007M07	421789
Estados Unidos de América	Pernoctaciones	2007M06	440100
Estados Unidos de América	Pernoctaciones	2007M05	360153
Estados Unidos de América	Pernoctaciones	2007M04	297597
Estados Unidos de América	Pernoctaciones	2007M03	286603
Estados Unidos de América	Pernoctaciones	2007M02	160023
Estados Unidos de América	Pernoctaciones	2007M01	145727
Estados Unidos de América	Pernoctaciones	2006M12	154960
Estados Unidos de América	Pernoctaciones	2006M11	220647
Estados Unidos de América	Pernoctaciones	2006M10	361964
Estados Unidos de América	Pernoctaciones	2006M09	345545
Estados Unidos de América	Pernoctaciones	2006M08	270184
Estados Unidos de América	Pernoctaciones	2006M07	407264
Estados Unidos de América	Pernoctaciones	2006M06	422537
Estados Unidos de América	Pernoctaciones	2006M05	359129
Estados Unidos de América	Pernoctaciones	2006M04	301250
Estados Unidos de América	Pernoctaciones	2006M03	270694
Estados Unidos de América	Pernoctaciones	2006M02	165538
Estados Unidos de América	Pernoctaciones	2006M01	142862
Estados Unidos de América	Pernoctaciones	2005M12	148755
Estados Unidos de América	Pernoctaciones	2005M11	213260
Estados Unidos de América	Pernoctaciones	2005M10	313952
Estados Unidos de América	Pernoctaciones	2005M09	334750
Estados Unidos de América	Pernoctaciones	2005M08	262564
Estados Unidos de América	Pernoctaciones	2005M07	379939
Estados Unidos de América	Pernoctaciones	2005M06	399934
Estados Unidos de América	Pernoctaciones	2005M05	343912
Estados Unidos de América	Pernoctaciones	2005M04	244444
Estados Unidos de América	Pernoctaciones	2005M03	262949
Estados Unidos de América	Pernoctaciones	2005M02	158223
Estados Unidos de América	Pernoctaciones	2005M01	134609
Estados Unidos de América	Pernoctaciones	2004M12	151653
Estados Unidos de América	Pernoctaciones	2004M11	185228
Estados Unidos de América	Pernoctaciones	2004M10	299354
Estados Unidos de América	Pernoctaciones	2004M09	305587
Estados Unidos de América	Pernoctaciones	2004M08	240160
Estados Unidos de América	Pernoctaciones	2004M07	380291
Estados Unidos de América	Pernoctaciones	2004M06	384267
Estados Unidos de América	Pernoctaciones	2004M05	310469
Estados Unidos de América	Pernoctaciones	2004M04	293998
Estados Unidos de América	Pernoctaciones	2004M03	277596
Estados Unidos de América	Pernoctaciones	2004M02	159854
Estados Unidos de América	Pernoctaciones	2004M01	144144
Estados Unidos de América	Pernoctaciones	2003M12	165072
Estados Unidos de América	Pernoctaciones	2003M11	207480
Estados Unidos de América	Pernoctaciones	2003M10	306956
Estados Unidos de América	Pernoctaciones	2003M09	300015
Estados Unidos de América	Pernoctaciones	2003M08	273162
Estados Unidos de América	Pernoctaciones	2003M07	410237
Estados Unidos de América	Pernoctaciones	2003M06	380606
Estados Unidos de América	Pernoctaciones	2003M05	287942
Estados Unidos de América	Pernoctaciones	2003M04	258352
Estados Unidos de América	Pernoctaciones	2003M03	264633
Estados Unidos de América	Pernoctaciones	2003M02	152842
Estados Unidos de América	Pernoctaciones	2003M01	142448
Estados Unidos de América	Pernoctaciones	2002M12	162005
Estados Unidos de América	Pernoctaciones	2002M11	206075
Estados Unidos de América	Pernoctaciones	2002M10	310561
Estados Unidos de América	Pernoctaciones	2002M09	330980
Estados Unidos de América	Pernoctaciones	2002M08	265842
Estados Unidos de América	Pernoctaciones	2002M07	404898
Estados Unidos de América	Pernoctaciones	2002M06	420691
Estados Unidos de América	Pernoctaciones	2002M05	349380
Estados Unidos de América	Pernoctaciones	2002M04	253917
Estados Unidos de América	Pernoctaciones	2002M03	282833
Estados Unidos de América	Pernoctaciones	2002M02	155529
Estados Unidos de América	Pernoctaciones	2002M01	135562
Estados Unidos de América	Pernoctaciones	2001M12	128303
Estados Unidos de América	Pernoctaciones	2001M11	180098
Estados Unidos de América	Pernoctaciones	2001M10	268615
Estados Unidos de América	Pernoctaciones	2001M09	279480
Estados Unidos de América	Pernoctaciones	2001M08	314014
Estados Unidos de América	Pernoctaciones	2001M07	465698
Estados Unidos de América	Pernoctaciones	2001M06	517136
Estados Unidos de América	Pernoctaciones	2001M05	434481
Estados Unidos de América	Pernoctaciones	2001M04	344316
Estados Unidos de América	Pernoctaciones	2001M03	339719
Estados Unidos de América	Pernoctaciones	2001M02	181112
Estados Unidos de América	Pernoctaciones	2001M01	151932
Estados Unidos de América	Pernoctaciones	2000M12	167368
Estados Unidos de América	Pernoctaciones	2000M11	250002
Estados Unidos de América	Pernoctaciones	2000M10	386462
Estados Unidos de América	Pernoctaciones	2000M09	362010
Estados Unidos de América	Pernoctaciones	2000M08	280002
Estados Unidos de América	Pernoctaciones	2000M07	423789
Estados Unidos de América	Pernoctaciones	2000M06	477909
Estados Unidos de América	Pernoctaciones	2000M05	425309
Estados Unidos de América	Pernoctaciones	2000M04	377088
Estados Unidos de América	Pernoctaciones	2000M03	342023
Estados Unidos de América	Pernoctaciones	2000M02	177565
Estados Unidos de América	Pernoctaciones	2000M01	156538
Estados Unidos de América	Pernoctaciones	1999M12	137968
Estados Unidos de América	Pernoctaciones	1999M11	230299
Estados Unidos de América	Pernoctaciones	1999M10	343890
Estados Unidos de América	Pernoctaciones	1999M09	321989
Estados Unidos de América	Pernoctaciones	1999M08	253842
Estados Unidos de América	Pernoctaciones	1999M07	371412
Estados Unidos de América	Pernoctaciones	1999M06	411871
Estados Unidos de América	Pernoctaciones	1999M05	350895
Estados Unidos de América	Pernoctaciones	1999M04	356414
Estados Unidos de América	Pernoctaciones	1999M03	288166
Estados Unidos de América	Pernoctaciones	1999M02	144852
Estados Unidos de América	Pernoctaciones	1999M01	132923
Japón	Viajero	2025M03	40196
Japón	Viajero	2025M02	37691
Japón	Viajero	2025M01	28733
Japón	Viajero	2024M12	32605
Japón	Viajero	2024M11	31239
Japón	Viajero	2024M10	37935
Japón	Viajero	2024M09	39784
Japón	Viajero	2024M08	33878
Japón	Viajero	2024M07	27701
Japón	Viajero	2024M06	37936
Japón	Viajero	2024M05	38108
Japón	Viajero	2024M04	32694
Japón	Viajero	2024M03	32813
Japón	Viajero	2024M02	31851
Japón	Viajero	2024M01	24668
Japón	Viajero	2023M12	26533
Japón	Viajero	2023M11	28743
Japón	Viajero	2023M10	34799
Japón	Viajero	2023M09	35613
Japón	Viajero	2023M08	26360
Japón	Viajero	2023M07	22657
Japón	Viajero	2023M06	26099
Japón	Viajero	2023M05	26989
Japón	Viajero	2023M04	21464
Japón	Viajero	2023M03	21131
Japón	Viajero	2023M02	19051
Japón	Viajero	2023M01	13433
Japón	Viajero	2022M12	13261
Japón	Viajero	2022M11	13423
Japón	Viajero	2022M10	16157
Japón	Viajero	2022M09	14129
Japón	Viajero	2022M08	11942
Japón	Viajero	2022M07	10452
Japón	Viajero	2022M06	11087
Japón	Viajero	2022M05	8241
Japón	Viajero	2022M04	7907
Japón	Viajero	2022M03	4861
Japón	Viajero	2022M02	3890
Japón	Viajero	2022M01	2189
Japón	Viajero	2021M12	4769
Japón	Viajero	2021M11	3756
Japón	Viajero	2021M10	3864
Japón	Viajero	2021M09	3867
Japón	Viajero	2021M08	3992
Japón	Viajero	2021M07	2893
Japón	Viajero	2021M06	1709
Japón	Viajero	2021M05	1159
Japón	Viajero	2021M04	895
Japón	Viajero	2021M03	594
Japón	Viajero	2021M02	475
Japón	Viajero	2021M01	498
Japón	Viajero	2020M12	738
Japón	Viajero	2020M11	823
Japón	Viajero	2020M10	985
Japón	Viajero	2020M09	1213
Japón	Viajero	2020M08	2058
Japón	Viajero	2020M07	1173
Japón	Viajero	2020M06	.
Japón	Viajero	2020M05	.
Japón	Viajero	2020M04	0
Japón	Viajero	2020M03	20218
Japón	Viajero	2020M02	49764
Japón	Viajero	2020M01	48910
Japón	Viajero	2019M12	50161
Japón	Viajero	2019M11	52092
Japón	Viajero	2019M10	72149
Japón	Viajero	2019M09	62793
Japón	Viajero	2019M08	55978
Japón	Viajero	2019M07	51490
Japón	Viajero	2019M06	63496
Japón	Viajero	2019M05	64617
Japón	Viajero	2019M04	55448
Japón	Viajero	2019M03	55463
Japón	Viajero	2019M02	46725
Japón	Viajero	2019M01	40251
Japón	Viajero	2018M12	43034
Japón	Viajero	2018M11	48747
Japón	Viajero	2018M10	52325
Japón	Viajero	2018M09	55282
Japón	Viajero	2018M08	46532
Japón	Viajero	2018M07	40915
Japón	Viajero	2018M06	48217
Japón	Viajero	2018M05	46982
Japón	Viajero	2018M04	40548
Japón	Viajero	2018M03	49220
Japón	Viajero	2018M02	41988
Japón	Viajero	2018M01	31011
Japón	Viajero	2017M12	32521
Japón	Viajero	2017M11	38785
Japón	Viajero	2017M10	54509
Japón	Viajero	2017M09	56582
Japón	Viajero	2017M08	49326
Japón	Viajero	2017M07	44499
Japón	Viajero	2017M06	63117
Japón	Viajero	2017M05	56097
Japón	Viajero	2017M04	46262
Japón	Viajero	2017M03	60635
Japón	Viajero	2017M02	49490
Japón	Viajero	2017M01	44920
Japón	Viajero	2016M12	45214
Japón	Viajero	2016M11	47082
Japón	Viajero	2016M10	51307
Japón	Viajero	2016M09	57617
Japón	Viajero	2016M08	47408
Japón	Viajero	2016M07	38620
Japón	Viajero	2016M06	51795
Japón	Viajero	2016M05	52710
Japón	Viajero	2016M04	50001
Japón	Viajero	2016M03	52759
Japón	Viajero	2016M02	45612
Japón	Viajero	2016M01	38073
Japón	Viajero	2015M12	40824
Japón	Viajero	2015M11	52562
Japón	Viajero	2015M10	58363
Japón	Viajero	2015M09	60811
Japón	Viajero	2015M08	53874
Japón	Viajero	2015M07	42399
Japón	Viajero	2015M06	55066
Japón	Viajero	2015M05	48400
Japón	Viajero	2015M04	44795
Japón	Viajero	2015M03	50443
Japón	Viajero	2015M02	43759
Japón	Viajero	2015M01	41340
Japón	Viajero	2014M12	42637
Japón	Viajero	2014M11	43132
Japón	Viajero	2014M10	57091
Japón	Viajero	2014M09	61585
Japón	Viajero	2014M08	58403
Japón	Viajero	2014M07	46372
Japón	Viajero	2014M06	62418
Japón	Viajero	2014M05	60340
Japón	Viajero	2014M04	48390
Japón	Viajero	2014M03	69898
Japón	Viajero	2014M02	48797
Japón	Viajero	2014M01	50679
Japón	Viajero	2013M12	48574
Japón	Viajero	2013M11	56381
Japón	Viajero	2013M10	63552
Japón	Viajero	2013M09	62158
Japón	Viajero	2013M08	59141
Japón	Viajero	2013M07	47987
Japón	Viajero	2013M06	67770
Japón	Viajero	2013M05	55311
Japón	Viajero	2013M04	44921
Japón	Viajero	2013M03	69484
Japón	Viajero	2013M02	59464
Japón	Viajero	2013M01	48640
Japón	Viajero	2012M12	45407
Japón	Viajero	2012M11	51674
Japón	Viajero	2012M10	54715
Japón	Viajero	2012M09	58191
Japón	Viajero	2012M08	50066
Japón	Viajero	2012M07	43746
Japón	Viajero	2012M06	55369
Japón	Viajero	2012M05	59241
Japón	Viajero	2012M04	53130
Japón	Viajero	2012M03	63279
Japón	Viajero	2012M02	47597
Japón	Viajero	2012M01	43671
Japón	Viajero	2011M12	46734
Japón	Viajero	2011M11	49624
Japón	Viajero	2011M10	61573
Japón	Viajero	2011M09	59201
Japón	Viajero	2011M08	53085
Japón	Viajero	2011M07	42681
Japón	Viajero	2011M06	54086
Japón	Viajero	2011M05	51231
Japón	Viajero	2011M04	39223
Japón	Viajero	2011M03	55161
Japón	Viajero	2011M02	51019
Japón	Viajero	2011M01	43753
Japón	Viajero	2010M12	46997
Japón	Viajero	2010M11	61430
Japón	Viajero	2010M10	62387
Japón	Viajero	2010M09	58159
Japón	Viajero	2010M08	47414
Japón	Viajero	2010M07	42333
Japón	Viajero	2010M06	55672
