RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2004M06;6.525.030
Total;;Viajero;2004M05;6.211.439
Total;;Viajero;2004M04;5.591.761
Total;;Viajero;2004M03;4.735.606
Total;;Viajero;2004M02;3.970.007
Total;;Viajero;2004M01;3.153.660
Total;;Viajero;2003M12;3.588.510
Total;;Viajero;2003M11;3.868.099
Total;;Viajero;2003M10;5.537.248
Total;;Viajero;2003M09;6.517.598
Total;;Viajero;2003M08;7.697.588
Total;;Viajero;2003M07;6.795.963
Total;;Viajero;2003M06;6.276.681
Total;;Viajero;2003M05;5.984.961
Total;;Viajero;2003M04;5.408.500
Total;;Viajero;2003M03;4.421.552
Total;;Viajero;2003M02;3.463.674
Total;;Viajero;2003M01;2.971.006
Total;;Viajero;2002M12;3.383.399
Total;;Viajero;2002M11;3.714.810
Total;;Viajero;2002M10;5.360.250
Total;;Viajero;2002M09;6.224.753
Total;;Viajero;2002M08;7.383.775
Total;;Viajero;2002M07;6.407.711
Total;;Viajero;2002M06;5.725.690
Total;;Viajero;2002M05;5.677.357
Total;;Viajero;2002M04;4.853.120
Total;;Viajero;2002M03;4.756.621
Total;;Viajero;2002M02;3.507.891
Total;;Viajero;2002M01;2.873.435
Total;;Viajero;2001M12;3.214.821
Total;;Viajero;2001M11;3.657.828
Total;;Viajero;2001M10;5.310.403
Total;;Viajero;2001M09;6.307.038
Total;;Viajero;2001M08;7.179.051
Total;;Viajero;2001M07;6.405.959
Total;;Viajero;2001M06;5.914.352
Total;;Viajero;2001M05;5.673.119
Total;;Viajero;2001M04;5.384.678
Total;;Viajero;2001M03;4.333.254
Total;;Viajero;2001M02;3.518.883
Total;;Viajero;2001M01;3.004.915
Total;;Viajero;2000M12;3.347.855
Total;;Viajero;2000M11;3.691.092
Total;;Viajero;2000M10;5.368.961
Total;;Viajero;2000M09;6.327.590
Total;;Viajero;2000M08;6.994.683
Total;;Viajero;2000M07;6.374.389
Total;;Viajero;2000M06;5.806.706
Total;;Viajero;2000M05;5.592.100
Total;;Viajero;2000M04;5.335.325
Total;;Viajero;2000M03;4.244.207
Total;;Viajero;2000M02;3.390.877
Total;;Viajero;2000M01;2.808.737
Total;;Viajero;1999M12;3.204.082
Total;;Viajero;1999M11;3.570.715
Total;;Viajero;1999M10;5.447.890
Total;;Viajero;1999M09;6.349.504
Total;;Viajero;1999M08;6.986.211
Total;;Viajero;1999M07;6.415.298
Total;;Viajero;1999M06;5.834.331
Total;;Viajero;1999M05;5.724.555
Total;;Viajero;1999M04;4.931.385
Total;;Viajero;1999M03;4.143.343
Total;;Viajero;1999M02;3.205.892
Total;;Viajero;1999M01;2.775.738
Total;;Pernoctaciones;2025M04;29.070.077
