RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Suecia;Viajero;2000M12;32.292
Total;Suecia;Viajero;2000M11;35.015
Total;Suecia;Viajero;2000M10;43.085
Total;Suecia;Viajero;2000M09;47.514
Total;Suecia;Viajero;2000M08;32.289
Total;Suecia;Viajero;2000M07;42.011
Total;Suecia;Viajero;2000M06;38.329
Total;Suecia;Viajero;2000M05;34.836
Total;Suecia;Viajero;2000M04;42.166
Total;Suecia;Viajero;2000M03;38.916
Total;Suecia;Viajero;2000M02;31.087
Total;Suecia;Viajero;2000M01;24.564
Total;Suecia;Viajero;1999M12;22.928
Total;Suecia;Viajero;1999M11;30.256
Total;Suecia;Viajero;1999M10;38.741
Total;Suecia;Viajero;1999M09;36.723
Total;Suecia;Viajero;1999M08;25.241
Total;Suecia;Viajero;1999M07;37.963
Total;Suecia;Viajero;1999M06;37.690
Total;Suecia;Viajero;1999M05;33.031
Total;Suecia;Viajero;1999M04;32.768
Total;Suecia;Viajero;1999M03;42.357
Total;Suecia;Viajero;1999M02;28.440
Total;Suecia;Viajero;1999M01;27.328
Total;Suecia;Pernoctaciones;2025M04;310.083
Total;Suecia;Pernoctaciones;2025M03;341.626
Total;Suecia;Pernoctaciones;2025M02;316.830
Total;Suecia;Pernoctaciones;2025M01;297.666
Total;Suecia;Pernoctaciones;2024M12;327.963
Total;Suecia;Pernoctaciones;2024M11;391.841
Total;Suecia;Pernoctaciones;2024M10;414.751
Total;Suecia;Pernoctaciones;2024M09;286.960
Total;Suecia;Pernoctaciones;2024M08;298.821
Total;Suecia;Pernoctaciones;2024M07;395.390
Total;Suecia;Pernoctaciones;2024M06;331.432
Total;Suecia;Pernoctaciones;2024M05;318.792
Total;Suecia;Pernoctaciones;2024M04;319.171
Total;Suecia;Pernoctaciones;2024M03;386.929
Total;Suecia;Pernoctaciones;2024M02;331.212
Total;Suecia;Pernoctaciones;2024M01;348.892
Total;Suecia;Pernoctaciones;2023M12;323.683
Total;Suecia;Pernoctaciones;2023M11;426.545
Total;Suecia;Pernoctaciones;2023M10;378.622
Total;Suecia;Pernoctaciones;2023M09;315.575
Total;Suecia;Pernoctaciones;2023M08;289.605
Total;Suecia;Pernoctaciones;2023M07;366.800
Total;Suecia;Pernoctaciones;2023M06;299.690
Total;Suecia;Pernoctaciones;2023M05;300.940
Total;Suecia;Pernoctaciones;2023M04;323.088
Total;Suecia;Pernoctaciones;2023M03;371.908
Total;Suecia;Pernoctaciones;2023M02;311.636
Total;Suecia;Pernoctaciones;2023M01;356.138
Total;Suecia;Pernoctaciones;2022M12;324.140
Total;Suecia;Pernoctaciones;2022M11;419.091
Total;Suecia;Pernoctaciones;2022M10;331.756
Total;Suecia;Pernoctaciones;2022M09;306.360
Total;Suecia;Pernoctaciones;2022M08;275.004
Total;Suecia;Pernoctaciones;2022M07;363.110
Total;Suecia;Pernoctaciones;2022M06;293.062
Total;Suecia;Pernoctaciones;2022M05;286.849
Total;Suecia;Pernoctaciones;2022M04;289.229
Total;Suecia;Pernoctaciones;2022M03;273.550
Total;Suecia;Pernoctaciones;2022M02;199.711
Total;Suecia;Pernoctaciones;2022M01;240.746
Total;Suecia;Pernoctaciones;2021M12;257.202
Total;Suecia;Pernoctaciones;2021M11;327.297
Total;Suecia;Pernoctaciones;2021M10;247.214
Total;Suecia;Pernoctaciones;2021M09;196.438
Total;Suecia;Pernoctaciones;2021M08;189.034
Total;Suecia;Pernoctaciones;2021M07;222.236
Total;Suecia;Pernoctaciones;2021M06;95.140
Total;Suecia;Pernoctaciones;2021M05;36.652
Total;Suecia;Pernoctaciones;2021M04;24.367
Total;Suecia;Pernoctaciones;2021M03;30.298
Total;Suecia;Pernoctaciones;2021M02;25.678
Total;Suecia;Pernoctaciones;2021M01;33.309
Total;Suecia;Pernoctaciones;2020M12;29.263
Total;Suecia;Pernoctaciones;2020M11;32.627
Total;Suecia;Pernoctaciones;2020M10;32.024
Total;Suecia;Pernoctaciones;2020M09;31.174
Total;Suecia;Pernoctaciones;2020M08;46.440
Total;Suecia;Pernoctaciones;2020M07;38.105
Total;Suecia;Pernoctaciones;2020M06;.
Total;Suecia;Pernoctaciones;2020M05;.
Total;Suecia;Pernoctaciones;2020M04;0
Total;Suecia;Pernoctaciones;2020M03;196.070
Total;Suecia;Pernoctaciones;2020M02;399.812
Total;Suecia;Pernoctaciones;2020M01;414.921
Total;Suecia;Pernoctaciones;2019M12;395.554
Total;Suecia;Pernoctaciones;2019M11;459.426
Total;Suecia;Pernoctaciones;2019M10;524.757
Total;Suecia;Pernoctaciones;2019M09;498.376
Total;Suecia;Pernoctaciones;2019M08;473.743
Total;Suecia;Pernoctaciones;2019M07;563.255
Total;Suecia;Pernoctaciones;2019M06;531.554
Total;Suecia;Pernoctaciones;2019M05;458.130
Total;Suecia;Pernoctaciones;2019M04;423.259
Total;Suecia;Pernoctaciones;2019M03;477.882
Total;Suecia;Pernoctaciones;2019M02;382.028
Total;Suecia;Pernoctaciones;2019M01;399.175
Total;Suecia;Pernoctaciones;2018M12;417.110
Total;Suecia;Pernoctaciones;2018M11;509.229
Total;Suecia;Pernoctaciones;2018M10;544.158
Total;Suecia;Pernoctaciones;2018M09;521.948
Total;Suecia;Pernoctaciones;2018M08;516.701
Total;Suecia;Pernoctaciones;2018M07;649.762
Total;Suecia;Pernoctaciones;2018M06;596.664
Total;Suecia;Pernoctaciones;2018M05;521.777
Total;Suecia;Pernoctaciones;2018M04;490.932
Total;Suecia;Pernoctaciones;2018M03;561.851
Total;Suecia;Pernoctaciones;2018M02;454.465
Total;Suecia;Pernoctaciones;2018M01;481.737
Total;Suecia;Pernoctaciones;2017M12;465.415
Total;Suecia;Pernoctaciones;2017M11;558.572
Total;Suecia;Pernoctaciones;2017M10;520.850
Total;Suecia;Pernoctaciones;2017M09;511.310
Total;Suecia;Pernoctaciones;2017M08;553.405
Total;Suecia;Pernoctaciones;2017M07;538.332
Total;Suecia;Pernoctaciones;2017M06;591.103
Total;Suecia;Pernoctaciones;2017M05;520.303
Total;Suecia;Pernoctaciones;2017M04;476.969
Total;Suecia;Pernoctaciones;2017M03;551.168
Total;Suecia;Pernoctaciones;2017M02;472.699
Total;Suecia;Pernoctaciones;2017M01;492.939
Total;Suecia;Pernoctaciones;2016M12;456.237
Total;Suecia;Pernoctaciones;2016M11;574.841
Total;Suecia;Pernoctaciones;2016M10;468.808
Total;Suecia;Pernoctaciones;2016M09;440.670
Total;Suecia;Pernoctaciones;2016M08;406.297
Total;Suecia;Pernoctaciones;2016M07;540.441
Total;Suecia;Pernoctaciones;2016M06;403.980
Total;Suecia;Pernoctaciones;2016M05;412.407
Total;Suecia;Pernoctaciones;2016M04;412.325
Total;Suecia;Pernoctaciones;2016M03;539.420
Total;Suecia;Pernoctaciones;2016M02;477.303
Total;Suecia;Pernoctaciones;2016M01;491.284
Total;Suecia;Pernoctaciones;2015M12;455.708
Total;Suecia;Pernoctaciones;2015M11;478.210
Total;Suecia;Pernoctaciones;2015M10;451.424
Total;Suecia;Pernoctaciones;2015M09;360.119
Total;Suecia;Pernoctaciones;2015M08;302.173
Total;Suecia;Pernoctaciones;2015M07;436.528
Total;Suecia;Pernoctaciones;2015M06;325.709
Total;Suecia;Pernoctaciones;2015M05;306.917
Total;Suecia;Pernoctaciones;2015M04;379.165
Total;Suecia;Pernoctaciones;2015M03;458.453
Total;Suecia;Pernoctaciones;2015M02;407.955
Total;Suecia;Pernoctaciones;2015M01;434.610
Total;Suecia;Pernoctaciones;2014M12;408.265
Total;Suecia;Pernoctaciones;2014M11;463.496
Total;Suecia;Pernoctaciones;2014M10;429.957
Total;Suecia;Pernoctaciones;2014M09;337.589
Total;Suecia;Pernoctaciones;2014M08;332.224
Total;Suecia;Pernoctaciones;2014M07;468.021
Total;Suecia;Pernoctaciones;2014M06;337.313
Total;Suecia;Pernoctaciones;2014M05;306.728
Total;Suecia;Pernoctaciones;2014M04;405.816
Total;Suecia;Pernoctaciones;2014M03;484.822
Total;Suecia;Pernoctaciones;2014M02;428.494
Total;Suecia;Pernoctaciones;2014M01;443.574
Total;Suecia;Pernoctaciones;2013M12;459.823
Total;Suecia;Pernoctaciones;2013M11;491.242
Total;Suecia;Pernoctaciones;2013M10;425.768
Total;Suecia;Pernoctaciones;2013M09;355.072
Total;Suecia;Pernoctaciones;2013M08;342.620
Total;Suecia;Pernoctaciones;2013M07;460.128
Total;Suecia;Pernoctaciones;2013M06;426.481
Total;Suecia;Pernoctaciones;2013M05;326.106
Total;Suecia;Pernoctaciones;2013M04;355.739
Total;Suecia;Pernoctaciones;2013M03;501.121
Total;Suecia;Pernoctaciones;2013M02;408.696
Total;Suecia;Pernoctaciones;2013M01;412.608
Total;Suecia;Pernoctaciones;2012M12;424.138
Total;Suecia;Pernoctaciones;2012M11;440.353
Total;Suecia;Pernoctaciones;2012M10;400.074
Total;Suecia;Pernoctaciones;2012M09;358.666
Total;Suecia;Pernoctaciones;2012M08;340.062
Total;Suecia;Pernoctaciones;2012M07;401.122
Total;Suecia;Pernoctaciones;2012M06;314.438
Total;Suecia;Pernoctaciones;2012M05;301.385
Total;Suecia;Pernoctaciones;2012M04;331.016
Total;Suecia;Pernoctaciones;2012M03;421.441
Total;Suecia;Pernoctaciones;2012M02;379.239
Total;Suecia;Pernoctaciones;2012M01;380.281
Total;Suecia;Pernoctaciones;2011M12;335.561
Total;Suecia;Pernoctaciones;2011M11;376.663
Total;Suecia;Pernoctaciones;2011M10;312.505
Total;Suecia;Pernoctaciones;2011M09;304.043
Total;Suecia;Pernoctaciones;2011M08;280.290
Total;Suecia;Pernoctaciones;2011M07;376.320
Total;Suecia;Pernoctaciones;2011M06;291.729
Total;Suecia;Pernoctaciones;2011M05;242.369
Total;Suecia;Pernoctaciones;2011M04;313.922
Total;Suecia;Pernoctaciones;2011M03;435.802
Total;Suecia;Pernoctaciones;2011M02;339.896
Total;Suecia;Pernoctaciones;2011M01;296.503
Total;Suecia;Pernoctaciones;2010M12;262.831
Total;Suecia;Pernoctaciones;2010M11;331.567
Total;Suecia;Pernoctaciones;2010M10;329.907
Total;Suecia;Pernoctaciones;2010M09;294.747
Total;Suecia;Pernoctaciones;2010M08;271.649
Total;Suecia;Pernoctaciones;2010M07;317.294
Total;Suecia;Pernoctaciones;2010M06;278.241
Total;Suecia;Pernoctaciones;2010M05;262.983
Total;Suecia;Pernoctaciones;2010M04;231.013
Total;Suecia;Pernoctaciones;2010M03;279.496
Total;Suecia;Pernoctaciones;2010M02;209.333
Total;Suecia;Pernoctaciones;2010M01;211.779
Total;Suecia;Pernoctaciones;2009M12;194.717
Total;Suecia;Pernoctaciones;2009M11;240.456
Total;Suecia;Pernoctaciones;2009M10;272.482
Total;Suecia;Pernoctaciones;2009M09;293.692
Total;Suecia;Pernoctaciones;2009M08;263.286
Total;Suecia;Pernoctaciones;2009M07;342.252
Total;Suecia;Pernoctaciones;2009M06;275.283
Total;Suecia;Pernoctaciones;2009M05;287.741
Total;Suecia;Pernoctaciones;2009M04;208.494
Total;Suecia;Pernoctaciones;2009M03;220.609
Total;Suecia;Pernoctaciones;2009M02;204.495
Total;Suecia;Pernoctaciones;2009M01;209.500
Total;Suecia;Pernoctaciones;2008M12;205.996
Total;Suecia;Pernoctaciones;2008M11;254.838
Total;Suecia;Pernoctaciones;2008M10;259.735
Total;Suecia;Pernoctaciones;2008M09;273.091
Total;Suecia;Pernoctaciones;2008M08;301.800
Total;Suecia;Pernoctaciones;2008M07;331.408
Total;Suecia;Pernoctaciones;2008M06;288.260
Total;Suecia;Pernoctaciones;2008M05;251.587
Total;Suecia;Pernoctaciones;2008M04;196.472
Total;Suecia;Pernoctaciones;2008M03;265.924
Total;Suecia;Pernoctaciones;2008M02;242.908
Total;Suecia;Pernoctaciones;2008M01;207.720
Total;Suecia;Pernoctaciones;2007M12;206.520
Total;Suecia;Pernoctaciones;2007M11;256.860
Total;Suecia;Pernoctaciones;2007M10;279.349
Total;Suecia;Pernoctaciones;2007M09;239.331
Total;Suecia;Pernoctaciones;2007M08;196.731
Total;Suecia;Pernoctaciones;2007M07;253.572
Total;Suecia;Pernoctaciones;2007M06;186.366
Total;Suecia;Pernoctaciones;2007M05;177.907
Total;Suecia;Pernoctaciones;2007M04;206.997
Total;Suecia;Pernoctaciones;2007M03;238.698
Total;Suecia;Pernoctaciones;2007M02;175.799
Total;Suecia;Pernoctaciones;2007M01;178.304
Total;Suecia;Pernoctaciones;2006M12;167.806
Total;Suecia;Pernoctaciones;2006M11;203.700
Total;Suecia;Pernoctaciones;2006M10;192.196
Total;Suecia;Pernoctaciones;2006M09;179.251
Total;Suecia;Pernoctaciones;2006M08;156.602
Total;Suecia;Pernoctaciones;2006M07;236.289
Total;Suecia;Pernoctaciones;2006M06;198.360
Total;Suecia;Pernoctaciones;2006M05;169.978
Total;Suecia;Pernoctaciones;2006M04;218.569
Total;Suecia;Pernoctaciones;2006M03;215.749
Total;Suecia;Pernoctaciones;2006M02;159.604
Total;Suecia;Pernoctaciones;2006M01;152.780
Total;Suecia;Pernoctaciones;2005M12;134.053
Total;Suecia;Pernoctaciones;2005M11;180.691
Total;Suecia;Pernoctaciones;2005M10;190.776
Total;Suecia;Pernoctaciones;2005M09;179.811
Total;Suecia;Pernoctaciones;2005M08;147.999
Total;Suecia;Pernoctaciones;2005M07;179.287
Total;Suecia;Pernoctaciones;2005M06;189.764
Total;Suecia;Pernoctaciones;2005M05;148.479
Total;Suecia;Pernoctaciones;2005M04;149.739
Total;Suecia;Pernoctaciones;2005M03;205.945
Total;Suecia;Pernoctaciones;2005M02;152.338
Total;Suecia;Pernoctaciones;2005M01;154.973
Total;Suecia;Pernoctaciones;2004M12;142.284
Total;Suecia;Pernoctaciones;2004M11;165.168
Total;Suecia;Pernoctaciones;2004M10;215.969
Total;Suecia;Pernoctaciones;2004M09;219.227
Total;Suecia;Pernoctaciones;2004M08;137.677
Total;Suecia;Pernoctaciones;2004M07;182.438
Total;Suecia;Pernoctaciones;2004M06;167.393
Total;Suecia;Pernoctaciones;2004M05;157.704
Total;Suecia;Pernoctaciones;2004M04;162.000
Total;Suecia;Pernoctaciones;2004M03;177.017
Total;Suecia;Pernoctaciones;2004M02;132.934
Total;Suecia;Pernoctaciones;2004M01;119.084
Total;Suecia;Pernoctaciones;2003M12;120.468
Total;Suecia;Pernoctaciones;2003M11;144.262
Total;Suecia;Pernoctaciones;2003M10;171.038
Total;Suecia;Pernoctaciones;2003M09;230.297
Total;Suecia;Pernoctaciones;2003M08;197.261
Total;Suecia;Pernoctaciones;2003M07;263.910
Total;Suecia;Pernoctaciones;2003M06;181.281
Total;Suecia;Pernoctaciones;2003M05;144.211
Total;Suecia;Pernoctaciones;2003M04;171.621
Total;Suecia;Pernoctaciones;2003M03;168.631
Total;Suecia;Pernoctaciones;2003M02;132.796
Total;Suecia;Pernoctaciones;2003M01;134.892
Total;Suecia;Pernoctaciones;2002M12;140.739
Total;Suecia;Pernoctaciones;2002M11;147.545
Total;Suecia;Pernoctaciones;2002M10;180.381
Total;Suecia;Pernoctaciones;2002M09;199.464
Total;Suecia;Pernoctaciones;2002M08;169.751
Total;Suecia;Pernoctaciones;2002M07;251.264
Total;Suecia;Pernoctaciones;2002M06;233.499
Total;Suecia;Pernoctaciones;2002M05;196.920
Total;Suecia;Pernoctaciones;2002M04;188.077
Total;Suecia;Pernoctaciones;2002M03;231.212
Total;Suecia;Pernoctaciones;2002M02;181.049
Total;Suecia;Pernoctaciones;2002M01;195.320
Total;Suecia;Pernoctaciones;2001M12;185.964
Total;Suecia;Pernoctaciones;2001M11;186.010
Total;Suecia;Pernoctaciones;2001M10;215.735
Total;Suecia;Pernoctaciones;2001M09;277.789
Total;Suecia;Pernoctaciones;2001M08;197.336
Total;Suecia;Pernoctaciones;2001M07;263.318
Total;Suecia;Pernoctaciones;2001M06;241.808
Total;Suecia;Pernoctaciones;2001M05;221.164
Total;Suecia;Pernoctaciones;2001M04;256.524
Total;Suecia;Pernoctaciones;2001M03;246.188
Total;Suecia;Pernoctaciones;2001M02;195.190
Total;Suecia;Pernoctaciones;2001M01;198.309
Total;Suecia;Pernoctaciones;2000M12;230.332
Total;Suecia;Pernoctaciones;2000M11;217.505
Total;Suecia;Pernoctaciones;2000M10;221.477
Total;Suecia;Pernoctaciones;2000M09;279.492
Total;Suecia;Pernoctaciones;2000M08;210.710
Total;Suecia;Pernoctaciones;2000M07;234.276
Total;Suecia;Pernoctaciones;2000M06;247.258
Total;Suecia;Pernoctaciones;2000M05;219.585
Total;Suecia;Pernoctaciones;2000M04;235.223
Total;Suecia;Pernoctaciones;2000M03;232.607
Total;Suecia;Pernoctaciones;2000M02;198.657
Total;Suecia;Pernoctaciones;2000M01;176.897
Total;Suecia;Pernoctaciones;1999M12;181.696
Total;Suecia;Pernoctaciones;1999M11;198.424
Total;Suecia;Pernoctaciones;1999M10;199.167
Total;Suecia;Pernoctaciones;1999M09;232.610
Total;Suecia;Pernoctaciones;1999M08;198.769
Total;Suecia;Pernoctaciones;1999M07;210.934
Total;Suecia;Pernoctaciones;1999M06;233.232
Total;Suecia;Pernoctaciones;1999M05;173.523
Total;Suecia;Pernoctaciones;1999M04;188.372
Total;Suecia;Pernoctaciones;1999M03;222.100
Total;Suecia;Pernoctaciones;1999M02;193.488
Total;Suecia;Pernoctaciones;1999M01;195.816
Total;Resto de la U.E.;Viajero;2025M04;157.545
Total;Resto de la U.E.;Viajero;2025M03;131.470
Total;Resto de la U.E.;Viajero;2025M02;108.544
Total;Resto de la U.E.;Viajero;2025M01;90.419
Total;Resto de la U.E.;Viajero;2024M12;88.436
Total;Resto de la U.E.;Viajero;2024M11;105.655
Total;Resto de la U.E.;Viajero;2024M10;175.495
Total;Resto de la U.E.;Viajero;2024M09;186.254
Total;Resto de la U.E.;Viajero;2024M08;191.530
Total;Resto de la U.E.;Viajero;2024M07;200.158
Total;Resto de la U.E.;Viajero;2024M06;188.167
Total;Resto de la U.E.;Viajero;2024M05;180.422
Total;Resto de la U.E.;Viajero;2024M04;160.365
Total;Resto de la U.E.;Viajero;2024M03;132.228
Total;Resto de la U.E.;Viajero;2024M02;100.351
Total;Resto de la U.E.;Viajero;2024M01;88.373
Total;Resto de la U.E.;Viajero;2023M12;90.674
Total;Resto de la U.E.;Viajero;2023M11;107.369
Total;Resto de la U.E.;Viajero;2023M10;158.421
Total;Resto de la U.E.;Viajero;2023M09;170.612
Total;Resto de la U.E.;Viajero;2023M08;187.364
Total;Resto de la U.E.;Viajero;2023M07;188.440
Total;Resto de la U.E.;Viajero;2023M06;168.686
Total;Resto de la U.E.;Viajero;2023M05;153.557
Total;Resto de la U.E.;Viajero;2023M04;152.254
Total;Resto de la U.E.;Viajero;2023M03;111.632
Total;Resto de la U.E.;Viajero;2023M02;90.488
Total;Resto de la U.E.;Viajero;2023M01;83.204
Total;Resto de la U.E.;Viajero;2022M12;78.208
Total;Resto de la U.E.;Viajero;2022M11;89.332
Total;Resto de la U.E.;Viajero;2022M10;135.432
Total;Resto de la U.E.;Viajero;2022M09;146.222
Total;Resto de la U.E.;Viajero;2022M08;159.498
Total;Resto de la U.E.;Viajero;2022M07;165.921
Total;Resto de la U.E.;Viajero;2022M06;153.453
Total;Resto de la U.E.;Viajero;2022M05;128.803
Total;Resto de la U.E.;Viajero;2022M04;130.262
Total;Resto de la U.E.;Viajero;2022M03;87.395
Total;Resto de la U.E.;Viajero;2022M02;71.293
Total;Resto de la U.E.;Viajero;2022M01;54.314
Total;Resto de la U.E.;Viajero;2021M12;59.075
Total;Resto de la U.E.;Viajero;2021M11;66.503
Total;Resto de la U.E.;Viajero;2021M10;90.261
Total;Resto de la U.E.;Viajero;2021M09;86.148
Total;Resto de la U.E.;Viajero;2021M08;111.564
Total;Resto de la U.E.;Viajero;2021M07;105.096
Total;Resto de la U.E.;Viajero;2021M06;69.417
Total;Resto de la U.E.;Viajero;2021M05;37.032
Total;Resto de la U.E.;Viajero;2021M04;24.232
Total;Resto de la U.E.;Viajero;2021M03;18.832
Total;Resto de la U.E.;Viajero;2021M02;14.618
Total;Resto de la U.E.;Viajero;2021M01;14.820
Total;Resto de la U.E.;Viajero;2020M12;16.756
Total;Resto de la U.E.;Viajero;2020M11;14.998
Total;Resto de la U.E.;Viajero;2020M10;23.423
Total;Resto de la U.E.;Viajero;2020M09;31.798
Total;Resto de la U.E.;Viajero;2020M08;64.693
Total;Resto de la U.E.;Viajero;2020M07;46.416
Total;Resto de la U.E.;Viajero;2020M06;.
Total;Resto de la U.E.;Viajero;2020M05;.
Total;Resto de la U.E.;Viajero;2020M04;0
Total;Resto de la U.E.;Viajero;2020M03;31.118
Total;Resto de la U.E.;Viajero;2020M02;74.880
Total;Resto de la U.E.;Viajero;2020M01;70.114
Total;Resto de la U.E.;Viajero;2019M12;70.797
Total;Resto de la U.E.;Viajero;2019M11;78.571
Total;Resto de la U.E.;Viajero;2019M10;127.706
Total;Resto de la U.E.;Viajero;2019M09;139.181
Total;Resto de la U.E.;Viajero;2019M08;156.760
Total;Resto de la U.E.;Viajero;2019M07;142.265
Total;Resto de la U.E.;Viajero;2019M06;138.950
Total;Resto de la U.E.;Viajero;2019M05;123.738
Total;Resto de la U.E.;Viajero;2019M04;114.744
Total;Resto de la U.E.;Viajero;2019M03;88.547
Total;Resto de la U.E.;Viajero;2019M02;70.262
Total;Resto de la U.E.;Viajero;2019M01;65.444
Total;Resto de la U.E.;Viajero;2018M12;64.965
Total;Resto de la U.E.;Viajero;2018M11;71.763
Total;Resto de la U.E.;Viajero;2018M10;123.835
Total;Resto de la U.E.;Viajero;2018M09;137.830
Total;Resto de la U.E.;Viajero;2018M08;134.976
Total;Resto de la U.E.;Viajero;2018M07;135.994
Total;Resto de la U.E.;Viajero;2018M06;125.755
Total;Resto de la U.E.;Viajero;2018M05;107.013
Total;Resto de la U.E.;Viajero;2018M04;94.692
Total;Resto de la U.E.;Viajero;2018M03;78.238
Total;Resto de la U.E.;Viajero;2018M02;60.206
Total;Resto de la U.E.;Viajero;2018M01;54.971
Total;Resto de la U.E.;Viajero;2017M12;54.308
Total;Resto de la U.E.;Viajero;2017M11;66.034
Total;Resto de la U.E.;Viajero;2017M10;111.137
Total;Resto de la U.E.;Viajero;2017M09;133.477
Total;Resto de la U.E.;Viajero;2017M08;140.653
Total;Resto de la U.E.;Viajero;2017M07;124.870
Total;Resto de la U.E.;Viajero;2017M06;119.947
Total;Resto de la U.E.;Viajero;2017M05;105.154
Total;Resto de la U.E.;Viajero;2017M04;96.958
Total;Resto de la U.E.;Viajero;2017M03;72.352
Total;Resto de la U.E.;Viajero;2017M02;55.714
Total;Resto de la U.E.;Viajero;2017M01;51.656
Total;Resto de la U.E.;Viajero;2016M12;50.483
Total;Resto de la U.E.;Viajero;2016M11;60.201
Total;Resto de la U.E.;Viajero;2016M10;95.301
Total;Resto de la U.E.;Viajero;2016M09;120.305
Total;Resto de la U.E.;Viajero;2016M08;114.003
Total;Resto de la U.E.;Viajero;2016M07;110.795
Total;Resto de la U.E.;Viajero;2016M06;96.514
Total;Resto de la U.E.;Viajero;2016M05;90.440
Total;Resto de la U.E.;Viajero;2016M04;83.527
Total;Resto de la U.E.;Viajero;2016M03;60.419
Total;Resto de la U.E.;Viajero;2016M02;47.304
Total;Resto de la U.E.;Viajero;2016M01;41.688
Total;Resto de la U.E.;Viajero;2015M12;44.013
Total;Resto de la U.E.;Viajero;2015M11;54.173
Total;Resto de la U.E.;Viajero;2015M10;83.156
Total;Resto de la U.E.;Viajero;2015M09;96.479
Total;Resto de la U.E.;Viajero;2015M08;93.048
Total;Resto de la U.E.;Viajero;2015M07;92.783
Total;Resto de la U.E.;Viajero;2015M06;90.505
Total;Resto de la U.E.;Viajero;2015M05;76.335
Total;Resto de la U.E.;Viajero;2015M04;72.020
Total;Resto de la U.E.;Viajero;2015M03;52.833
Total;Resto de la U.E.;Viajero;2015M02;36.710
Total;Resto de la U.E.;Viajero;2015M01;35.490
Total;Resto de la U.E.;Viajero;2014M12;35.491
Total;Resto de la U.E.;Viajero;2014M11;44.417
Total;Resto de la U.E.;Viajero;2014M10;78.405
Total;Resto de la U.E.;Viajero;2014M09;89.572
Total;Resto de la U.E.;Viajero;2014M08;93.386
Total;Resto de la U.E.;Viajero;2014M07;86.806
Total;Resto de la U.E.;Viajero;2014M06;81.036
Total;Resto de la U.E.;Viajero;2014M05;65.130
Total;Resto de la U.E.;Viajero;2014M04;61.269
Total;Resto de la U.E.;Viajero;2014M03;45.701
Total;Resto de la U.E.;Viajero;2014M02;37.442
Total;Resto de la U.E.;Viajero;2014M01;39.634
Total;Resto de la U.E.;Viajero;2013M12;34.021
Total;Resto de la U.E.;Viajero;2013M11;41.924
Total;Resto de la U.E.;Viajero;2013M10;65.732
Total;Resto de la U.E.;Viajero;2013M09;81.129
Total;Resto de la U.E.;Viajero;2013M08;81.304
Total;Resto de la U.E.;Viajero;2013M07;75.563
Total;Resto de la U.E.;Viajero;2013M06;67.827
Total;Resto de la U.E.;Viajero;2013M05;58.257
Total;Resto de la U.E.;Viajero;2013M04;47.728
Total;Resto de la U.E.;Viajero;2013M03;43.430
Total;Resto de la U.E.;Viajero;2013M02;31.424
Total;Resto de la U.E.;Viajero;2013M01;29.281
Total;Resto de la U.E.;Viajero;2012M12;29.828
Total;Resto de la U.E.;Viajero;2012M11;38.629
Total;Resto de la U.E.;Viajero;2012M10;55.503
Total;Resto de la U.E.;Viajero;2012M09;70.848
Total;Resto de la U.E.;Viajero;2012M08;76.152
Total;Resto de la U.E.;Viajero;2012M07;72.892
Total;Resto de la U.E.;Viajero;2012M06;71.424
Total;Resto de la U.E.;Viajero;2012M05;62.008
Total;Resto de la U.E.;Viajero;2012M04;57.263
Total;Resto de la U.E.;Viajero;2012M03;45.492
Total;Resto de la U.E.;Viajero;2012M02;33.557
Total;Resto de la U.E.;Viajero;2012M01;30.431
Total;Resto de la U.E.;Viajero;2011M12;32.297
Total;Resto de la U.E.;Viajero;2011M11;37.198
Total;Resto de la U.E.;Viajero;2011M10;56.267
Total;Resto de la U.E.;Viajero;2011M09;69.220
Total;Resto de la U.E.;Viajero;2011M08;81.789
Total;Resto de la U.E.;Viajero;2011M07;75.627
Total;Resto de la U.E.;Viajero;2011M06;72.431
Total;Resto de la U.E.;Viajero;2011M05;62.520
Total;Resto de la U.E.;Viajero;2011M04;57.214
Total;Resto de la U.E.;Viajero;2011M03;46.552
Total;Resto de la U.E.;Viajero;2011M02;34.535
Total;Resto de la U.E.;Viajero;2011M01;28.293
Total;Resto de la U.E.;Viajero;2010M12;30.746
Total;Resto de la U.E.;Viajero;2010M11;36.853
Total;Resto de la U.E.;Viajero;2010M10;58.193
Total;Resto de la U.E.;Viajero;2010M09;64.716
Total;Resto de la U.E.;Viajero;2010M08;66.767
Total;Resto de la U.E.;Viajero;2010M07;66.496
Total;Resto de la U.E.;Viajero;2010M06;63.130
Total;Resto de la U.E.;Viajero;2010M05;57.122
Total;Resto de la U.E.;Viajero;2010M04;49.474
Total;Resto de la U.E.;Viajero;2010M03;37.693
Total;Resto de la U.E.;Viajero;2010M02;29.759
Total;Resto de la U.E.;Viajero;2010M01;25.808
Total;Resto de la U.E.;Viajero;2009M12;29.090
Total;Resto de la U.E.;Viajero;2009M11;30.226
Total;Resto de la U.E.;Viajero;2009M10;48.410
Total;Resto de la U.E.;Viajero;2009M09;49.967
Total;Resto de la U.E.;Viajero;2009M08;59.255
Total;Resto de la U.E.;Viajero;2009M07;53.597
Total;Resto de la U.E.;Viajero;2009M06;51.936
Total;Resto de la U.E.;Viajero;2009M05;44.275
Total;Resto de la U.E.;Viajero;2009M04;35.793
