Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Viajero;Total;Residentes en el Extranjero;2024M09;0,61
Viajero;Total;Residentes en el Extranjero;2024M08;0,6
Viajero;Total;Residentes en el Extranjero;2024M07;0,64
Viajero;Total;Residentes en el Extranjero;2024M06;0,71
Viajero;Total;Residentes en el Extranjero;2024M05;0,68
Viajero;Total;Residentes en el Extranjero;2024M04;0,62
Viajero;Total;Residentes en el Extranjero;2024M03;0,62
Viajero;Total;Residentes en el Extranjero;2024M02;0,62
Viajero;Total;Residentes en el Extranjero;2024M01;0,75
Viajero;Total;Residentes en el Extranjero;2023M12;0,62
Viajero;Total;Residentes en el Extranjero;2023M11;0,59
Viajero;Total;Residentes en el Extranjero;2023M10;0,7
Viajero;Total;Residentes en el Extranjero;2023M09;0,54
Viajero;Total;Residentes en el Extranjero;2023M08;0,52
Viajero;Total;Residentes en el Extranjero;2023M07;0,53
Viajero;Total;Residentes en el Extranjero;2023M06;0,67
Viajero;Total;Residentes en el Extranjero;2023M05;0,67
Viajero;Total;Residentes en el Extranjero;2023M04;0,58
Viajero;Total;Residentes en el Extranjero;2023M03;0,6
Viajero;Total;Residentes en el Extranjero;2023M02;0,6
Viajero;Total;Residentes en el Extranjero;2023M01;0,65
Viajero;Total;Residentes en el Extranjero;2022M12;0,64
Viajero;Total;Residentes en el Extranjero;2022M11;0,57
Viajero;Total;Residentes en el Extranjero;2022M10;0,75
Viajero;Total;Residentes en el Extranjero;2022M09;0,57
Viajero;Total;Residentes en el Extranjero;2022M08;0,56
Viajero;Total;Residentes en el Extranjero;2022M07;0,61
Viajero;Total;Residentes en el Extranjero;2022M06;0,64
Viajero;Total;Residentes en el Extranjero;2022M05;0,68
Viajero;Total;Residentes en el Extranjero;2022M04;0,63
Viajero;Total;Residentes en el Extranjero;2022M03;0,61
Viajero;Total;Residentes en el Extranjero;2022M02;0,61
Viajero;Total;Residentes en el Extranjero;2022M01;0,78
Viajero;Total;Residentes en el Extranjero;2021M12;0,72
Viajero;Total;Residentes en el Extranjero;2021M11;0,66
Viajero;Total;Residentes en el Extranjero;2021M10;0,66
Viajero;Total;Residentes en el Extranjero;2021M09;0,73
Viajero;Total;Residentes en el Extranjero;2021M08;0,69
Viajero;Total;Residentes en el Extranjero;2021M07;0,7
Viajero;Total;Residentes en el Extranjero;2021M06;0,88
Viajero;Total;Residentes en el Extranjero;2021M05;1,02
Viajero;Total;Residentes en el Extranjero;2021M04;1,27
